repo,relative_path,file_type,classification,action_needed
Direct-Cuts,/.claude/agents/ui-ux-design-virtuoso.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/voice-ai-calling-ops.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/web-automation-tester.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/AGENT_GAP_ANALYSIS.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/analysis/BOOKING-SPRINT-DEPLOYMENT-VERIFICATION.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/analysis/BOOKING-SPRINT-DOUBLE-BOOKING-PREVENTION.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/analysis/DC-AGENT-TEAM-ASSESSMENT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/analysis/DC-STACK-COMPARISON.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/audit-agents.ps1,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/autonomous-tasks/BUILD_AND_DEPLOY_QUEUE.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/autonomous-tasks/TASK_QUEUE.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/CI_SETUP_GUIDE.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/claude-code-templates-1.21.11.zip,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/commands/elevenlabs-ops.md,command,LOCAL,KEEP
Direct-Cuts,/.claude/commands/youtube-transcript.md,command,LOCAL,KEEP
Direct-Cuts,/.claude/COMPLETE-AGENT-FLOW.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/COMPLETE_AGENT_REGISTRY.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/AGENT_ARCHITECTURE.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/CI-CD-SETUP.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/00-GOVERNANCE/ANX-OPS-ORG-001/ANX_Operations_Org_Structure_ANX-OPS-ORG-001_v1.1.pdf,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/00-GOVERNANCE/ANX-OPS-ORG-001/changelog.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/00-GOVERNANCE/ANX-OPS-ORG-001/distribution.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/00-GOVERNANCE/ANX-OPS-ORG-001/mcp-anx-ops-setup.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/01-REGISTRY/agent-registry.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/01-REGISTRY/repos-map.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/01-REGISTRY/routing-matrix.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/01-REGISTRY/skills-map.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/01-REGISTRY/ticket-seq.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-QUEUE/active/ops_queue.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-QUEUE/active/ops_queue.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-QUEUE/backlog/backlog.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/PWA-001_offline_coverage.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/PWA-002_booking_queue.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/PWA-003_background_sync.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/PWA-004_push_prompt.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/PWA-005_sw_versioning.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/QA_GATE_CHECKLIST.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/WEB-001_fix_test_file.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/WEB-002_bundle_size.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/WEB-003_sentry_config.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/WEB-004_load_testing.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC-Readiness-100/WEB-005_session_monitor.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-001-BRAND-SPLASH.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-002-BRAND-SIGNIN.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-003-AUTH-PASSWORD.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-004-AUTH-ERRORS.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-005-AUTH-SIGNUP-SUCCESS.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/01-10-DC2-Mobile-Fix/TICKET-006-QA-VERIFICATION.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/CHANNEL_TEST_PLAN.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/DEPENDENCY_MAP.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/ENGDEL_CHANGELOG.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/EXECUTION_BOARD.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/FUNNEL_EVENTS_SPEC.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/02-TICKETS/2026/02-02-DC-BuildPlan/TICKET_LIST.csv,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-BRIEFS/2026/01-10-DC-Readiness-100/EXECUTION_BRIEF.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-BRIEFS/2026/01-10-DC2-Mobile-Fix/EXECUTION_BRIEF.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/db.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/eng.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/pm.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/qag.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/release.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/handoff_prompts/test.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/outputs/db_env_rls_receipts.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/outputs/decision_brief.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/outputs/eng_readiness_audit.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/outputs/pm_readiness_scope.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/outputs/release_preview_plan.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0001_public-preview-readiness.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/handoff_prompts/db.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/handoff_prompts/eng.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/handoff_prompts/pm.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/handoff_prompts/qag.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/handoff_prompts/release.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/outputs/db_env_rls_receipts.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/outputs/decision_brief.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/outputs/eng_readiness_audit.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/outputs/pm_readiness_scope.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/outputs/release_preview_plan.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0002/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0003/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0004/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0005/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0006/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/handoff_prompts/db.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/handoff_prompts/eng.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/handoff_prompts/pm.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/handoff_prompts/qag.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/handoff_prompts/release.txt,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/2026/2026-01/OCS-DC-0007/ticket.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/templates/OCS-DB-1_decision_brief.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/03-TICKETS/templates/OCS-TS-1_ticket_spec.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC-Readiness/DC2_NAV_DEADTAP_FIX_PROOF.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC-Readiness/decision_brief.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC-Readiness/MONDAY_SEED_BARBER_READINESS_PROOF.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC-Readiness/proof_pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC-Readiness/proof_pack_100.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/01-10-DC2-Mobile-Fix/proof_pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/DNS_VERIFICATION_RECEIPT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/M1_TO_M6_PROOF_STATUS.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/MILESTONE_PROOF_PACK_TEMPLATE.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/PROD_ROUTING_SMOKE_RECEIPT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/QA_EVIDENCE_PACK.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/SEO_PUBLISH_RECEIPT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/SMS_VERIFICATION_RECEIPT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/02-02-DC-BuildPlan/WEEKLY_CAC_REPORT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/2026-01/OCS-DC-0001_proof_pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/2026/2026-01/OCS-DC-0002_proof_pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/templates/QAG-GS-1_gate_summary.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/04-PROOFS/templates/QAG-PP-1_proof_pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/docs/ops/06-RUNBOOKS/release/direct-cuts_public-preview_dod_v1.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/00-README.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/01-personal-profile-copy-pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/02-company-page-copy-pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/03-manual-execution-checklist.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/04-two-week-content-pack.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/05-engagement-assets.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/06-metrics-and-iteration-plan.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/07-api-pathway-and-compliance.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/EXECUTION-SUMMARY.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/linkedin-setup/LINKEDIN-BUILDOUT-SPRINT.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/manifest.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-configs/claude-desktop-config.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-configs/google-drive-mcp.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-configs/notion-mcp.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-configs/slack-mcp.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-configs/support-ticket-mcp.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/anx-ops/index.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/anx-ops/package-lock.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/anx-ops/package.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/anx-ops/types.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/elevenlabs.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/analyze.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/BUILD_SUMMARY.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/DEPLOYMENT_CHECKLIST.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/DIRECTORY_TREE.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/index.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/INDEX.md,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/.bin/node-which,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/.bin/node-which.cmd,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/.bin/node-which.ps1,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/.package-lock.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/conninfo.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/conninfo.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/conninfo.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/conninfo.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/globals.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/globals.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/globals.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/globals.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/index.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/index.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/index.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/index.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/listener.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/listener.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/listener.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/listener.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/request.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/request.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/request.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/request.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/response.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/response.d.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/response.js,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/response.mjs,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/serve-static.d.mts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/mcp-servers/skills-server/node_modules/@hono/node-server/dist/serve-static.d.ts,other,EVALUATE,REVIEW
